;;;;;;;;;;;;x,,,,,,,,,,,,,;;;;;;;;;
return_core_on_title;Включить решение «Вернуть нац. провинции»;;;;;;;;;;;;x,,;;;;;;;;
return_core_on_desc;Решения о возвращении нац. провинций позволяют вам возвращать нац. вассалам и автономиям, если эта провинция не является вашей национальной. Скройте данное решение, чтобы не загромождать ваш список решений.;;;;;;;;;;;;x;;;;;;;;
return_core_off_title;Скрыть решение «Вернуть нац. провинции»;;;;;;;;;;;;x,,;;;;;;;;
return_core_off_desc;Ваш список решений теперь не будет загроможден.;;;;;;;;;;;;x,,;;;;;;;;
return_core_disabled_title;Отключить решение «Вернуть нац. провинции»;;;;;;;;;;;;x,,;;;;;;;;
return_core_disabled_desc;Решения «Вернуть нац. провинции» исчезнут из этой игровой сессии и больше не появятся снова. Вы не сможете снова использовать эти решения для этой игры.;;;;;;;;;;;;x,,;;;;;;;;
return_cores_MNP_title;Вернуть провинции Manipur;;;;;;;;;;;;;;;;;;;;x,,
return_cores_MNP_desc;Мы владеем провинциями, на которые  Manipur имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_BDK_title;Вернуть провинции Badakhshan;;;;;;;;;;;;;;;;;;;;x,,
return_cores_BDK_desc;Мы владеем провинциями, на которые  Badakhshan имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_PGG_title;Вернуть провинции Pingnan Guo;;;;;;;;;;;;;;;;;;;;x,,
return_cores_PGG_desc;Мы владеем провинциями, на которые  Pingnan Guo имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_SGM_title;Вернуть провинции Sigmaringen;;;;;;;;;;;;;;;;;;;;x,,
return_cores_SGM_desc;Мы владеем провинциями, на которые  Sigmaringen имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_NMB_title;Вернуть провинции Namibia;;;;;;;;;;;;;;;;;;;;x,,
return_cores_NMB_desc;Мы владеем провинциями, на которые  Namibia имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_TMR_title;Вернуть провинции Timor;;;;;;;;;;;;;;;;;;;;x,,
return_cores_TMR_desc;Мы владеем провинциями, на которые  Timor имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_SLG_title;Вернуть провинции Selangor;;;;;;;;;;;;;;;;;;;;x,,
return_cores_SLG_desc;Мы владеем провинциями, на которые  Selangor имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_PRK_title;Вернуть провинции Perak;;;;;;;;;;;;;;;;;;;;x,,
return_cores_PRK_desc;Мы владеем провинциями, на которые  Perak имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_PHG_title;Вернуть провинции Pahang;;;;;;;;;;;;;;;;;;;;x,,
return_cores_PHG_desc;Мы владеем провинциями, на которые  Pahang имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_FRO_title;Вернуть провинции Faroe;;;;;;;;;;;;;;;;;;;;x,,
return_cores_FRO_desc;Мы владеем провинциями, на которые  Faroe имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_NCT_title;Вернуть провинции Neuchatel;;;;;;;;;;;;;;;;;;;;x,,
return_cores_NCT_desc;Мы владеем провинциями, на которые  Neuchatel имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_HBY_title;Вернуть провинции Hobyo;;;;;;;;;;;;;;;;;;;;x,,
return_cores_HBY_desc;Мы владеем провинциями, на которые  Hobyo имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_QAT_title;Вернуть провинции Qatar;;;;;;;;;;;;;;;;;;;;x,,
return_cores_QAT_desc;Мы владеем провинциями, на которые  Qatar имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_BRY_title;Вернуть провинции Buryatia;;;;;;;;;;;;;;;;;;;;x,,
return_cores_BRY_desc;Мы владеем провинциями, на которые  Buryatia имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_MLD_title;Вернуть провинции Maldives;;;;;;;;;;;;;;;;;;;;x,,
return_cores_MLD_desc;Мы владеем провинциями, на которые  Maldives имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_KAR_title;Вернуть провинции Karen;;;;;;;;;;;;;;;;;;;;x,,
return_cores_KAR_desc;Мы владеем провинциями, на которые  Karen имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_PAK_title;Вернуть провинции Pakistan;;;;;;;;;;;;;;;;;;;;x,,
return_cores_PAK_desc;Мы владеем провинциями, на которые  Pakistan имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_CRL_title;Вернуть провинции Chitral;;;;;;;;;;;;;;;;;;;;x,,
return_cores_CRL_desc;Мы владеем провинциями, на которые  Chitral имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_RDL_title;Вернуть провинции Ardalan;;;;;;;;;;;;;;;;;;;;x,,
return_cores_RDL_desc;Мы владеем провинциями, на которые  Ardalan имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_BTL_title;Вернуть провинции Bitlis;;;;;;;;;;;;;;;;;;;;x,,
return_cores_BTL_desc;Мы владеем провинциями, на которые  Bitlis имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_BDN_title;Вернуть провинции Bahdinan;;;;;;;;;;;;;;;;;;;;x,,
return_cores_BDN_desc;Мы владеем провинциями, на которые  Bahdinan имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_BNB_title;Вернуть провинции Baban;;;;;;;;;;;;;;;;;;;;x,,
return_cores_BNB_desc;Мы владеем провинциями, на которые  Baban имеет претензии. Возвращение этих провинций в качестве акта доброй воли, безусловно, укрепит наши отношения.;;;;;;;;;;;;x;;;;;;;;
return_cores_MKN_title;Вернуть провинции Mukriyan;;;;;;;;;;;;;;;;;;;;x,,
